ALLSKY_SFC_SW_DWN (Wh/m^2),Solar Zenith Angle (Degrees) ,Solar Zenith Angle (Degrees) REMOVED IF >85º,optimiced_moving_solar_ALLSKY_SFC_SW_DWN (Wh/m^2)
11.01,88.89,0,0
81.58,81.6,81.6,558.4495393
229.57,74.36,74.36,851.545505
344.88,68.77,68.77,952.410714
417.76,65.32,65.32,1000.503127
320.5,64.41,64.41,742.0212296
351.33,66.15,66.15,868.8897361
263.5,70.32,70.32,782.4410078
153.96,76.48,76.48,658.5544452
50.42,83.98,83.98,480.7600142
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
9.47,88.75,0,0
56.2,81.32,81.32,372.3931776
91.55,74.06,74.06,333.3569117
100.88,68.45,68.45,274.6431296
152.54,64.99,64.99,360.8053502
257.05,64.08,64.08,588.0593189
321.3,65.83,65.83,784.7200279
270.53,70.02,70.02,791.7361676
162.46,76.2,76.2,681.0784602
64.91,83.65,83.65,586.8808641
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
11.72,88.6,0,0
81.63,81.03,81.03,523.5468072
153.37,73.76,73.76,548.4130912
204.26,68.12,68.12,548.1078495
263.06,64.66,64.66,614.6420687
262.43,63.74,63.74,593.1355787
232.89,65.5,65.5,561.5958401
156.77,69.7,69.7,451.8705394
88.41,75.91,75.91,363.1610164
28.05,83.31,83.31,240.7779175
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
10.36,88.44,0,0
45.32,80.74,80.74,281.6396785
94.52,73.45,73.45,331.8214784
118.41,67.8,67.8,313.3859661
84.52,64.32,64.32,195.0411175
83.48,63.4,63.4,186.4395436
70.23,65.16,65.16,167.1801617
62.52,69.39,69.39,177.6111053
36.2,75.61,75.61,145.6618323
6.21,82.96,82.96,50.66813335
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
10.56,88.27,0,0
42.02,80.45,80.45,253.2725327
60.7,73.13,73.13,209.165251
90.7,67.48,67.48,236.810971
105.3,63.98,63.98,240.0356383
102.57,63.06,63.06,226.3952587
97.88,64.84,64.84,230.2259807
82.02,69.07,69.07,229.6018423
46.77,75.31,75.31,184.4322023
38.34,82.61,82.61,298.0815598
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
